Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2016,Landcruiser,2016 Toyotaandcruiser Workmate (4X4),USED,Manual,4WD,Diesel,11.5,169215,White / Grey,"Singleton, NSW",8,Ute / Tray,2,3,69990
Mitsubishi,2004,Lancer,2004 MitsubishiancerS,USED,Automatic,Front,Unleaded,7.8,70014,Silver / Grey,"Kurri Kurri, NSW",4,Sedan,4,5,5999
Mazda,2023,BT-50,2023 Mazda BT-50 GT (4X4),NEW,Automatic,4WD,Diesel,8,7,Grey / Browneather,"Arncliffe, NSW",4,Ute / Tray,4,5,68288
Mazda,2018,3,2018 Mazda 3 NEO Sport,USED,Automatic,Front,Unleaded,5.8,83141,White / Grey,"Lithgow, NSW",4,Hatchback,5,5,21990
Toyota,2019,C-HR,2019 Toyota C-HR Koba (awd),USED,Automatic,AWD,Premium,5.6,76683,Silver / Black,"Gateshead, NSW",4,SUV,4,5,36990
Mazda,2013,CX-5,2013 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,Front,Unleaded,6.4,196641,White,"Liverpool, NSW",4,SUV,4,5,15998
Nissan,2013,X-Trail,2013 Nissan X-Trail ST (fwd),USED,Automatic,Front,Unleaded,8.4,155592,White,"Belmont, NSW",4,SUV,4,5,15990
Volkswagen,2022,Golf,2022 Volkswagen Golf 110TSIife,DEMO,Automatic,Front,Premium,5.9,2200,Blue / Black,"Mascot, NSW",4,Wagon,4,5,42990
Volkswagen,2022,Arteon,2022 Volkswagen Arteon 140TSI Elegance (restr Feat),NEW,Automatic,Front,Premium,5.8,16,White / Black,"Fairfield, VIC",4,Hatchback,5,5,73879
Kia,2015,Carnival,2015 Kia Carnival S,USED,Automatic,Front,Diesel,7.7,74402,White,"Nowra, NSW",4,Wagon,4,8,31999
Mitsubishi,2020,Outlander,2020 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,Front,Unleaded,7.2,43642,White / Black,"Albion Park, NSW",4,SUV,4,7,30990
Volkswagen,2022,Tiguan,2022 Volkswagen Tiguan Allspace 162TSI Elegance,USED,Automatic,AWD,Premium,8.6,8450,Blue / Grey,"Nowra, NSW",4,SUV,4,7,55990
Mitsubishi,2021,Pajero,2021 Mitsubishi Pajero Sport GLX (4X4) 5 Seat,USED,Automatic,4WD,Diesel,8,43811,Grey,"Cardiff, NSW",4,SUV,4,5,47990
Mercedes-Benz,2005,E240,2005 Mercedes-Benz E240 Classic,USED,Automatic,Rear,Unleaded,11,207619,Silver / Blackeather,"Elderslie, NSW",6,Sedan,4,5,5999
Toyota,2017,Hilux,2017 Toyota Hilux SR5 (4X4),USED,Manual,4WD,Diesel,7.6,176520,Grey / Black,"East Maitland, NSW",4,Ute / Tray,4,5,44990
Volkswagen,2013,Golf,2013 Volkswagen Golf GTI,USED,Automatic,Front,Premium,6.2,117753,Grey / Black,"Liverpool, NSW",4,Hatchback,5,5,21888
Mitsubishi,2020,ASX,2020 Mitsubishi ASX MR (2WD),USED,Automatic,Front,Unleaded,7.6,50572,Black / Cloth,"West Gosford, NSW",4,SUV,4,5,29888
Toyota,2021,Hilux,2021 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,8,57975,White,"Cardiff, NSW",4,Ute / Tray,4,5,59986
GWM,2023,Haval,2023 GWM Haval JolionUX Hybrid,NEW,Automatic,Front,-,5,11,Blue / Black,"Chullora, NSW",4,SUV,4,5,37485
Mazda,2018,CX-5,2018 Mazda CX-5 GT (4X4),USED,Automatic,AWD,Unleaded,7.5,7289,White,"Alexandria, NSW",4,SUV,4,5,38990
Hyundai,2017,Santa,2017 Hyundai Santa FE Active Crdi (4X4),USED,Automatic,AWD,Diesel,7.8,141432,White,"Adamstown, NSW",4,SUV,4,7,26990
Volkswagen,2021,Golf,2021 Volkswagen Golf R 4Motion,USED,Automatic,AWD,Premium,7.8,13220,White,"Cardiff, NSW",4,Hatchback,5,5,72998
Mitsubishi,2013,Triton,2013 Mitsubishi Triton GL-R (4X4),USED,Automatic,4WD,Diesel,9.9,303937,Silver / Grey,"Edgeworth, NSW",4,Ute / Tray,4,5,13990
Kia,2016,Sportage,2016 Kia Sportage SLI (fwd),USED,Automatic,Front,Unleaded,7.9,99301,White / Black One Tone,"Yallah, NSW",4,SUV,4,5,24850
Mitsubishi,2018,Eclipse,2018 Mitsubishi Eclipse Cross Exceed (2WD),USED,Automatic,Front,Unleaded,7.3,83838,Grey / Grey,"Cessnock, NSW",4,SUV,4,5,31990
Holden,2014,Commodore,2014 Holden Commodore SS-V Redline,USED,Manual,Rear,Premium,11.8,54858,Red /eather,"Lilydale, VIC",8,Sedan,4,5,49888
Volvo,2017,S60,2017 Volvo S60 T5 R-Design,USED,Automatic,Front,Premium,6.4,85417,Blue,"Kirrawee, NSW",4,Sedan,4,5,26890
Cupra,2022,Formentor,2022 Cupra Formentor VZX,USED,Automatic,4WD,Premium,7.7,1000,Grey / Petrol Blue,"Chatswood, NSW",4,SUV,4,5,67990
Nissan,2019,Pathfinder,2019 Nissan Pathfinder ST (2WD),USED,Automatic,Front,Premium,9.9,46615,Red,"Beresfield, NSW",6,SUV,4,7,29800
Mitsubishi,2020,ASX,2020 Mitsubishi ASX MR (2WD),USED,Automatic,Front,Unleaded,7.6,64002,Grey / Black,"North Wollongong, NSW",4,SUV,4,5,31990
Toyota,2019,Hilux,2019 Toyota Hilux Rugged X (4X4),USED,Automatic,4WD,Diesel,8.5,79979,Silver / Black,"Cessnock, NSW",4,Ute / Tray,4,5,63990
Jeep,2022,Gladiator,2022 Jeep Gladiator Rubicon (4X4),NEW,Automatic,4WD,Unleaded,12.4,-,Silver,"Narellan, NSW",6,Ute / Tray,4,5,90880
Subaru,2014,Forester,2014 Subaru Forester 2.5I-S,USED,Automatic,AWD,Unleaded,8.1,105628,Silver / Black,"Homebush, NSW",4,SUV,4,5,22999
MG,2021,HS,2021 MG HS Excite,USED,Automatic,Front,Unleaded,7.3,39147,White,"South Nowra, NSW",4,SUV,4,5,26990
Kia,2011,Cerato,2011 Kia Cerato S,USED,Automatic,Front,Unleaded,7.9,276650,Brown,"Hamilton, NSW",4,Sedan,4,5,6990
Ford,2008,Ranger,2008 Ford Ranger XL (4X2),USED,Manual,Rear,Diesel,9.3,268645,White / Grey,"Hamilton North, NSW",4,Ute / Tray,2,2,8990
Suzuki,2021,Baleno,2021 Suzuki Baleno GL,USED,Automatic,Front,Unleaded,5.4,19995,White,"Wollongong, NSW",4,Hatchback,4,5,20990
Land,2018,Rover,2018and Rover Range Rover Evoque SE,USED,Automatic,Other,Diesel,-,89628,White,"Liverpool, NSW",-,Wagon,,,40493
Toyota,2012,Camry,2012 Toyota Camry Altise,USED,Automatic,Other,Unleaded,-,187578,Beige / Cloth,"Orange, NSW",-,,,,11990
Kia,2013,Grand,2013 Kia Grand Carnival S,USED,Automatic,Front,Unleaded,10.9,191623,White,"Penrith, NSW",6,Wagon,4,8,10950
Toyota,2021,Corolla,2021 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,Front,Hybrid,4.2,47977,White,"South Nowra, NSW",4,Hatchback,5,5,29990
Ford,2011,Territory,2011 Ford Territory Titanium (4x4),USED,Automatic,Other,Diesel,-,174113,Grey / Black,"Pakenham, VIC",-,Wagon,,,16888
Mazda,2018,CX-5,2018 Mazda CX-5 Touring (4X4),USED,Automatic,AWD,Diesel,6,129489,Black / Black,"Gosford, NSW",4,SUV,4,5,27890
BMW,2022,118I,2022 BMW 118I M Sport,USED,Automatic,Front,Premium,5.9,7378,White,"Newcastle West, NSW",3,Hatchback,5,5,54541
Lexus,2017,IS300H,2017exus IS300Huxury Hybrid,USED,Automatic,Rear,Hybrid,4.9,40492,White,"Croydon, NSW",4,Sedan,4,5,42999
Honda,2017,Civic,2017 Honda Civic VTI-S,USED,Automatic,Front,Unleaded,6.4,67678,White,"Nowra, NSW",4,Sedan,4,5,24999
Mitsubishi,2016,Triton,2016 Mitsubishi Triton GLS (4X4),USED,Manual,4WD,Diesel,7.2,150247,White,"Mayfield, NSW",4,Ute / Tray,4,5,28995
Toyota,2022,Corolla,2022 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,Front,Hybrid,4.2,14298,White / 44Fa20,"North Wollongong, NSW",4,Hatchback,5,5,34990
Subaru,2022,Outback,2022 Subaru Outback AWD Touring,USED,Automatic,AWD,Unleaded,7.3,10962,Blue / Black,"Taylors Beach, NSW",4,SUV,4,5,51990
BMW,2012,X1,2012 BMW X1 Xdrive 20D,USED,Automatic,AWD,Diesel,6.2,98279,Grey,"Cardiff, NSW",4,SUV,4,5,14913
Land,2017,Rover,2017and Rover Discovery TD4 SE,USED,Automatic,4WD,Diesel,6.2,76381,White / Black,"Blacktown, NSW",4,SUV,4,5,51997
Mitsubishi,2010,Lancer,2010 Mitsubishiancer Activ Sportback,USED,Automatic,Front,Unleaded,8.3,196642,Black / Black,"Pakenham, VIC",4,Hatchback,5,5,11888
Holden,2008,Commodore,2008 Holden Commodore Omega,USED,Automatic,Rear,Unleaded,11,249500,-,"Wollongong, NSW",6,Wagon,4,5,6999
Holden,2009,Commodore,2009 Holden Commodore SS,USED,Automatic,Rear,Premium,14.6,162159,Black,"Beresfield, NSW",8,Sedan,4,5,17800
Kia,2017,Sportage,2017 Kia Sportage SI (fwd),USED,Automatic,Front,Unleaded,7.9,182740,Silver,"Cardiff, NSW",4,SUV,4,5,17913
Mitsubishi,2017,Triton,2017 Mitsubishi Triton GLS (4X4),USED,Automatic,4WD,Diesel,7.6,230717,Blue,"Cardiff, NSW",4,Ute / Tray,4,5,23513
Lexus,2017,RC,2017exus RC RC350 F Sport,USED,Automatic,Rear,Premium,-,87809,Red / Redeather,"Minchinbury, NSW",-,Coupe,,,49995
Mazda,2009,6,2009 Mazda 6 Classic,USED,Automatic,Front,Premium,8.9,236530,Silver,"Medlow Bath, NSW",4,Hatchback,5,5,8990
Toyota,2019,Land,2019 Toyotaand Cruiser VX,USED,Automatic,Other,Diesel,-,102621,White /eather,"Orange, NSW",-,Wagon,,,105990
Toyota,2007,Aurion,2007 Toyota Aurion Sportivo ZR6,USED,Automatic,Front,Unleaded,9.9,314536,Silver / Black,"Cardiff, NSW",6,Sedan,4,5,5950
Holden,2015,Barina,2015 Holden Barina X,USED,Manual,Front,Unleaded,6.8,80387,Red,"Adamstown, NSW",4,Hatchback,5,5,12990
Volkswagen,2023,T-ROC,2023 Volkswagen T-ROC R DSG 4MOTION,NEW,Automatic,Other,Premium,-,15,Grey / Black,"Blacktown, NSW",-,Wagon,,,69190
Toyota,2015,Hilux,2015 Toyota Hilux Workmate,USED,Automatic,Rear,Unleaded,11.5,229000,White,"Labrador, QLD",4,Ute / Tray,2,3,18990
Ford,2019,Everest,2019 Ford Everest Titanium (4WD 7 Seat),USED,Automatic,4WD,Diesel,7.1,76202,Silver / Black,"Caringbah, NSW",4,SUV,4,7,52990
Kia,2011,Cerato,2011 Kia Cerato S,USED,Automatic,Front,Unleaded,-,132544,Silver,"Orange, NSW",-,,,,10990
Subaru,2013,Tribeca,2013 Subaru Tribeca 3.6R Premium (7 Seat),USED,Automatic,AWD,Unleaded,11.6,171525,White,"Warners Bay, NSW",6,SUV,4,7,16990
Volkswagen,2023,Tiguan,2023 Volkswagen Tiguan Allspace 162TSI Monochrome,NEW,Automatic,AWD,Premium,8.6,5,Silver,"Bathurst, NSW",4,SUV,4,7,61490
Toyota,2018,Hilux,2018 Toyota Hilux Workmate,USED,Automatic,Rear,Unleaded,10.9,97683,White,"Fairfield East, NSW",4,Ute / Tray,2,2,26490
Toyota,2020,Landcruiser,2020 Toyotaandcruiser Prado Kakadu (4X4),USED,Automatic,4WD,Diesel,8,56332,White / 42Lh22,"Albion Park, NSW",4,SUV,4,7,87990
Mazda,2021,BT-50,2021 Mazda BT-50 GT (4X4),USED,Automatic,4WD,Diesel,8,34850,Black / Brown,"Auburn, NSW",4,Ute / Tray,4,5,63888
Mazda,2017,3,2017 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,5.8,51037,Red / Grey,"Goulburn, NSW",4,Hatchback,5,5,22990
Mazda,2012,BT-50,2012 Mazda BT-50 XTR (4X4),USED,Automatic,4WD,Diesel,9.2,200872,Silver / Black,"East Maitland, NSW",5,Ute / Tray,4,5,26986
Hyundai,2019,Sonata,2019 Hyundai Sonata Active,USED,Automatic,Front,Unleaded,8.3,103010,Grey,"Cardiff, NSW",4,Sedan,4,5,21890
Hyundai,2018,Tucson,2018 Hyundai Tucson Highlander (awd),USED,Automatic,AWD,Unleaded,7.7,76127,White,"Narellan, NSW",4,SUV,4,5,29990
Mercedes-Benz,2017,A250,2017 Mercedes-Benz A250 Sport,USED,Automatic,Front,Premium,6.7,83631,Black,"Croydon, NSW",4,Hatchback,5,5,38999
Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,8.5,90003,White / 1Yfk20,"North Wollongong, NSW",4,Ute / Tray,4,5,41990
Volkswagen,2022,Touareg,2022 Volkswagen Touareg 210TDI R-Line,DEMO,Automatic,AWD,Diesel,6.8,4650,Black / Soul Black,"Fairfield, VIC",6,SUV,4,5,123488
Mitsubishi,2023,Outlander,2023 Mitsubishi OutlanderS Black Edition 7 Seat (2WD),NEW,Automatic,Front,Unleaded,7.7,5,Grey / Black Microsuede &eatherette,"Muswellbrook, NSW",4,SUV,4,7,46990
Isuzu,2019,MU-X,2019 Isuzu MU-XS-M (4X2),USED,Automatic,Front,Diesel,8,126084,White,"Nowra, NSW",4,SUV,4,7,36999
Suzuki,2016,Grand,2016 Suzuki Grand Vitara Navigator (4X4),USED,Manual,4WD,Unleaded,8.8,70463,White / Grey,"Singleton, NSW",4,SUV,2,4,27990
Honda,1990,Integra,1990 Honda Integra (LS),USED,Automatic,Front,Unleaded,9.5,233543,Red / Black,"Liverpool, NSW",4,Coupe,2,4,4999
Toyota,2015,Hilux,2015 Toyota Hilux SR5 (4X4),USED,Manual,4WD,Diesel,8.3,205902,White,"Auburn, NSW",4,Ute / Tray,2,4,32990
Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,8.5,82798,White / Black,"Albion Park Rail, NSW",4,Ute / Tray,4,5,49990
Audi,2017,SQ5,2017 Audi SQ5 3.0 Tfsi Quattro,USED,Automatic,AWD,Premium,8.7,72557,Blue,"Cardiff, NSW",6,SUV,4,5,54990
Volkswagen,2022,T-Cross,2022 Volkswagen T-Cross 85TSI Style,USED,Automatic,Front,Premium,5.4,13075,Grey / Black,"Goulburn, NSW",3,SUV,4,5,34990
Nissan,2023,Z,2023 Nissan Z,USED,Automatic,Rear,Premium,9.8,1126,Grey / Black,"Carlton, NSW",6,Coupe,2,2,84888
Kia,2005,Sportage,2005 Kia Sportage (4X4),USED,Automatic,4WD,Unleaded,11.4,309017,Silver / Black,"Cardiff, NSW",6,SUV,4,5,5940
Audi,2010,S4,2010 Audi S4 3.0 Tfsi Quattro,USED,Automatic,AWD,Premium,9.4,172895,Silver / Blackeather,"Rydalmere, NSW",6,Sedan,4,5,22950
MG,2020,HS,2020 MG HS Core,USED,Automatic,Front,Unleaded,7.3,25836,White,"Wollongong, NSW",4,SUV,4,5,24990
Holden,2011,Captiva,2011 Holden Captiva 7 SX (fwd),USED,Automatic,Front,Diesel,8.1,204095,Grey / Cloth,"Lilydale, VIC",4,SUV,4,7,11990
Subaru,2017,Forester,2017 Subaru Forester 2.5I-L Eyesight Special EDT,USED,Automatic,AWD,Unleaded,8.1,79602,Blue,"Ulladulla, NSW",4,SUV,4,5,29990
Toyota,2004,Landcruiser,2004 Toyotaandcruiser GXL (4X4),USED,Automatic,4WD,Unleaded,0,417079,Silver,"Cardiff, NSW",8,SUV,4,8,14913
Kia,2018,Stinger,2018 Kia Stinger GT (redeather),USED,Automatic,Rear,Unleaded,10.2,59153,Black / Red,"Brookvale, NSW",6,Sedan,4,5,45980
Volkswagen,2020,Crafter,2020 Volkswagen Crafter 35 TDI340,USED,Automatic,Other,Diesel,-,92670,White,"Granville, NSW",-,Commercial,,,54999
Toyota,2002,Landcruiser,2002 Toyotaandcruiser Prado GXL (4X4),USED,Automatic,4WD,Diesel,0,246100,White / Grey,"Newambton, NSW",4,SUV,4,8,14990
Toyota,2020,Hilux,2020 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,8.5,49796,White / 1Yla20,"Albion Park, NSW",4,Ute / Tray,4,5,60990
Nissan,2010,Patrol,2010 Nissan Patrol ST (4X4),USED,Manual,4WD,Diesel,10.9,397206,Gold,"Beresfield, NSW",4,SUV,4,7,17800
Holden,2019,Colorado,2019 Holden ColoradoS (4X4),USED,Automatic,4WD,Diesel,8.6,75509,Grey / Greyeather,"Muswellbrook, NSW",4,Ute / Tray,4,5,43250
Hyundai,2023,Venue,2023 Hyundai Venue,USED,Manual,Front,Unleaded,7,18,Blue / Cloth,"Liverpool, NSW",4,SUV,4,5,25990
Toyota,2019,Hilux,2019 Toyota Hilux,USED,Automatic,Other,-,-,67843,White,"Windsor, NSW",-,Ute / Tray,,,57990
Volkswagen,2001,Transporter,2001 Volkswagen Transporter,USED,Manual,Front,Unleaded,13.4,174486,White / Grey,"Kurri Kurri, NSW",5,Commercial,4,5,6999
Mitsubishi,2018,ASX,2018 Mitsubishi ASX ES (2WD),USED,Automatic,Front,Unleaded,7.6,92581,Grey / Black,"Albion Park Rail, NSW",4,SUV,4,5,22990
Toyota,2015,Hilux,2015 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,9.3,155573,White,"Cardiff, NSW",4,Ute / Tray,4,5,31913
Mazda,2013,3,2013 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,77541,Silver / Black &ight Grey,"Lilydale, VIC",4,Sedan,4,5,16999
HSV,2010,Clubsport,2010 HSV Clubsport R8,USED,Manual,Rear,Premium,15.2,64000,Grey,"Orange, NSW",8,Sedan,4,5,49988
BMW,2022,X5,2022 BMW X5 Xdrive30D M Sport,USED,Automatic,AWD,Diesel,7.2,2256,White / Black,"Carlton, NSW",6,SUV,4,5,118888
Audi,2013,SQ5,2013 Audi SQ5 3.0 TDI Quattro,USED,Automatic,AWD,Diesel,6.8,106223,Black / Black,"Jamisontown, NSW",6,SUV,5,5,29999
Suzuki,2015,Jimny,2015 Suzuki Jimny,USED,Manual,4WD,Unleaded,7.3,154496,White,"Beresfield, NSW",4,SUV,2,4,22800
Volkswagen,2016,Transporter,2016 Volkswagen Transporter TDI 340 SWBOW,USED,Manual,Front,Diesel,7.7,162928,White,"Cardiff, NSW",4,Commercial,2,2,23913
Honda,2023,Civic,2023 Honda Civic Type R,USED,Manual,Front,Premium,8.9,722,Black,"Rozelle, NSW",4,Hatchback,4,4,78800
Haval,2023,Jolion,2023 Haval Jolion Ultra,DEMO,-,Other,-,-,16,White / Charcoal Comfort,"Belconnen, ACT",-,Wagon,,,40990
Mazda,2014,CX-5,2014 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,Front,Unleaded,6.4,116199,Red,"Wollongong, NSW",4,SUV,4,5,22890
Subaru,2013,Forester,2013 Subaru Forester 2.0I-L,USED,Manual,AWD,Unleaded,7.2,328514,Green,"Boolaroo, NSW",4,SUV,4,5,8800
Ferrari,2019,GTC4,2019 Ferrari GTC4usso (awd),USED,Automatic,AWD,Premium,15.3,11480,Blue / Black,"Auburn, NSW",12,Coupe,2,4,579888
Mercedes-Benz,2018,C300,2018 Mercedes-Benz C300,USED,Automatic,Rear,Premium,6.5,87700,-,"Yass, NSW",4,Sedan,4,4,46500
Volkswagen,2008,Transporter,2008 Volkswagen Transporter (LWB),USED,Manual,Front,Diesel,-,265515,White / Black,"Pakenham, VIC",-,Ute / Tray,,,10990
Hyundai,2021,I30,2021 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.4,56229,Red / Black,"North Wollongong, NSW",4,Hatchback,4,5,24588
Suzuki,2006,Swift,2006 Suzuki Swift S,USED,Manual,Front,Unleaded,7,148067,Black,"Camden, NSW",4,Hatchback,5,5,7995
Jaguar,2012,XF,2012 Jaguar XF 2.0uxury,USED,Automatic,Rear,Premium,8.9,160100,-,"Newambton, NSW",4,Sedan,4,5,19990
Mitsubishi,2021,Triton,2021 Mitsubishi Triton GLS (4X4),USED,Automatic,4WD,Diesel,8.6,16012,Silver / Black,"Arncliffe, NSW",4,Ute / Tray,4,5,49990
Holden,2013,Barina,2013 Holden Barina Spark CD,USED,Automatic,Front,Unleaded,5.8,147761,White / Grey  Cloth,"Fyshwick, ACT",4,Hatchback,5,5,10990
MG,2021,HS,2021 MG HS Core,USED,Automatic,Front,Unleaded,7.3,21972,White,"Wollongong, NSW",4,SUV,4,5,24990
BMW,2020,X3,2020 BMW X3 Sdrive20I M Sport,USED,Automatic,Rear,Unleaded,7.4,20501,White / Stoff,"Zetland, NSW",4,SUV,4,5,64880
Mercedes-Benz,2016,E200,2016 Mercedes-Benz E200,USED,Automatic,Rear,Premium,6.4,42679,Silver,"Rozelle, NSW",4,Sedan,4,5,51800
Mazda,2014,BT-50,2014 Mazda BT-50 XTR (4X4),USED,Automatic,4WD,Diesel,9.2,104719,Silver / Grey,"Nowra, NSW",5,Ute / Tray,4,5,32990
Mazda,2017,3,2017 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,5.7,43485,Red / Grey,"Phillip, ACT",4,Sedan,4,5,22670
Volkswagen,2022,Arteon,2022 Volkswagen Arteon 206 TSI R-Line,DEMO,Automatic,AWD,Premium,7.7,3650,Black / Black,"Fairfield, VIC",4,Hatchback,5,5,67888
Hyundai,2020,Iload,2020 Hyundai Iload 3Siftback,USED,Automatic,Rear,Diesel,8.8,48891,White / Black,"North Wollongong, NSW",4,Commercial,4,3,41990
GWM,2022,Haval,2022 GWM Haval H6 Ultra AWD,NEW,Automatic,AWD,Premium,9.8,10,White / Black,"Kirrawee, NSW",4,SUV,4,5,41990
Holden,2014,Captiva,2014 Holden Captiva 5T (4X4),USED,Automatic,AWD,Diesel,8.2,88045,White,"Lambton, NSW",4,SUV,4,5,9990
Ford,2017,Ranger,2017 Ford Ranger XL 3.2 (4X4),USED,Automatic,4WD,Diesel,8.8,187148,White,"Cardiff, NSW",5,Ute / Tray,4,5,31990
Kia,2021,Carnival,2021 Kia Carnival S,USED,Automatic,Front,Unleaded,9.6,41021,Silver,"Arncliffe, NSW",6,Wagon,4,8,47990
Jeep,2017,Wrangler,2017 Jeep Wrangler Unlimited Sport (4X4),USED,Manual,4WD,Unleaded,11.8,92100,-,"Wickham, NSW",6,SUV,4,5,41888
Mercedes-Benz,2022,C63,2022 Mercedes-Benz C63 S,USED,Automatic,Rear,Premium,10.3,22,Black,"Rushcutters Bay, NSW",8,Coupe,2,4,229990
Hyundai,2015,Accent,2015 Hyundai Accent Active,USED,Automatic,Front,Unleaded,6.4,148448,White / Grey,"Phillip, ACT",4,Hatchback,5,5,12888
Renault,2023,Koleos,2023 Renault Koleos Intens (4X4),NEW,Automatic,4WD,Unleaded,8.3,-,White,"Narellan, NSW",4,SUV,4,5,48490
Toyota,2021,Camry,2021 Toyota Camry Ascent,USED,Automatic,Front,Unleaded,7.8,50526,White / 2Vfa20,"Albion Park, NSW",4,Sedan,4,5,30990
Toyota,2023,RAV4,2023 Toyota RAV4 XSE (2WD) Hybrid Premium Paint,USED,Automatic,Front,Hybrid,4.8,7,White / Black,"Pennant Hills, NSW",4,SUV,5,5,67999
Maserati,2018,Granturismo,2018 Maserati Granturismo Sport,USED,Automatic,Rear,Premium,14.3,30130,Blue,"Rushcutters Bay, NSW",8,Coupe,2,4,179990
Honda,2015,CR-V,2015 Honda CR-V VTI (4X4),USED,Automatic,4WD,Unleaded,8.7,142058,White / Black,"Phillip, ACT",4,SUV,4,5,19980
Kia,2017,Sportage,2017 Kia Sportage SI (awd),USED,Automatic,AWD,Diesel,6.8,132215,White / Grey,"Singleton, NSW",4,SUV,4,5,23990
Volkswagen,2016,Caddy,2016 Volkswagen Caddy Maxi Crewvan TSI220,USED,Automatic,Front,Premium,6,229964,White / Grey,"Hamilton North, NSW",4,Commercial,4,5,18990
Audi,2020,Q7,2020 Audi Q7 50 TDI Quattro Sine (hybrid),USED,Automatic,AWD,Hybrid,7,53932,Black / Black,"Zetland, NSW",6,SUV,4,7,102880
Kia,2015,Sportage,2015 Kia Sportage SI Premium (fwd),USED,Automatic,Front,Unleaded,8.8,143210,Brown / Black,"Cessnock, NSW",4,SUV,4,5,19990
Volkswagen,2022,Amarok,2022 Volkswagen Amarok TDI580 W580X 4Motion,DEMO,Automatic,4WD,Diesel,9.5,4880,Blue / Titanium Black Viennaeather,"Fairfield, VIC",6,Ute / Tray,4,5,81888
Kia,2020,Cerato,2020 Kia Cerato S,USED,Automatic,Front,Unleaded,7.4,52642,Silver / Black,"North Wollongong, NSW",4,Sedan,4,5,21888
Porsche,2022,Taycan,2022 Porsche Taycan 4S,USED,-,AWD,Electric,0,2594,White,"Rushcutters Bay, NSW",0,Sedan,4,4,229880
Nissan,2015,Navara,2015 Nissan Navara ST (4X4),USED,Automatic,4WD,Diesel,7,121952,White,"Auburn, NSW",4,Ute / Tray,4,5,29990
Hyundai,2016,I30,2016 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.3,39899,Grey / Cloth,"Phillip, ACT",4,Hatchback,5,5,21990
Holden,2013,Barina,2013 Holden Barina CD,USED,Manual,Front,Unleaded,6.8,136560,Grey,"Blacktown, NSW",4,Hatchback,5,5,8500
Nissan,2016,Qashqai,2016 Nissan Qashqai ST (4X2),USED,Automatic,Front,Unleaded,6.9,48062,Black,"Warners Bay, NSW",4,SUV,4,5,22990
Kia,2020,Cerato,2020 Kia Cerato S,USED,Automatic,Front,Unleaded,7.4,55889,Grey / Black,"Albion Park, NSW",4,Hatchback,5,5,22990
Toyota,2019,Landcruiser,2019 Toyotaandcruiser Prado GXL (4X4),USED,Automatic,4WD,Diesel,8,65623,Grey,"Warwick Farm, NSW",4,SUV,4,7,65995
BMW,2022,320I,2022 BMW 320I M Sport,USED,Automatic,Rear,Premium,6.3,21696,White,"Liverpool, NSW",4,Sedan,4,5,64950
Volkswagen,2017,Golf,2017 Volkswagen Golf 92 TSI Comfortline,USED,Automatic,Front,Premium,5.4,104296,Black / Black,"Phillip, ACT",4,Hatchback,5,5,17750
Mercedes-Benz,2013,A250,2013 Mercedes-Benz A250 Sport,USED,Automatic,Front,Premium,6.6,62390,Black,"Saint Marys, NSW",4,Hatchback,5,5,29555
Toyota,2020,RAV4,2020 Toyota RAV4 Cruiser (2WD) Hybrid,USED,Automatic,Front,Hybrid,4.7,15250,Silver,"Cardiff, NSW",4,SUV,5,5,53885
Hyundai,2020,Tucson,2020 Hyundai Tucson Highlander (awd),USED,Automatic,AWD,Diesel,6.4,49292,Grey / Black,"Albion Park, NSW",4,SUV,4,5,38990
Volkswagen,2022,T-ROC,2022 Volkswagen T-ROC 140TSI R-Line,DEMO,Automatic,AWD,Premium,7.3,2243,Grey / Black,"Fairfield, VIC",4,SUV,4,5,52488
Mitsubishi,2016,Triton,2016 Mitsubishi Triton GLS (4X4),USED,Automatic,4WD,Diesel,7.6,144179,Blue,"Cardiff, NSW",4,Ute / Tray,4,5,24913
Mazda,2017,CX-5,2017 Mazda CX-5 Akera (4X4),USED,Automatic,AWD,Unleaded,7.4,112905,White / Blackeather,"Stanmore, NSW",4,SUV,4,5,29788
Hyundai,2005,Terracan,2005 Hyundai Terracan Crdi,USED,Automatic,4WD,Diesel,10.3,282829,Silver / Grey,"Penrith, NSW",4,SUV,4,7,6350
