Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2007,Yaris,2007 Toyota Yaris YRS,USED,Automatic,Front,Unleaded,6.7,264691,Silver,"Lansvale, NSW",4,Sedan,4,5,7949
Jeep,2012,Grand,2012 Jeep Grand Cherokee WKaredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,Other,Unleaded,-,224839,Red,"Rouse Hill, NSW",-,Wagon,,,13999
Toyota,2010,Corolla,2010 Toyota Corolla Conquest,USED,Manual,Front,Unleaded,7.7,238270,Grey,"Smithfield, NSW",4,Hatchback,5,5,8800
Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),USED,Automatic,Rear,Unleaded,-,76259,White / Black,"Ingleburn, NSW",-,Commercial,,,32900
Jeep,2015,Patriot,2015 Jeep Patriotimited (4X4),USED,Automatic,4WD,Unleaded,9.1,140964,Black,"Seven Hills, NSW",4,SUV,4,5,13990
Toyota,2003,HiAce,2003 Toyota HiAce,USED,Automatic,Rear,Unleaded,0,266848,White / Grey,"Five Dock, NSW",4,Commercial,4,3,9999
Volvo,2013,S60,2013 Volvo S60 T4 Teknik,USED,Automatic,Front,Premium,7.4,141000,Blue,"Blacktown, NSW",4,Sedan,4,5,14999
Mitsubishi,2016,Triton,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,4WD,Diesel,7.6,240402,White,"Haberfield, NSW",4,Ute / Tray,4,5,22750
Mercedes-Benz,2010,E250,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,Rear,Premium,7.9,101126,Black / Tobacco,"Glebe, NSW",4,Coupe,2,4,21950
Mercedes-Benz,2013,A250,2013 Mercedes-Benz A250 Sport,USED,Automatic,Front,Premium,6.6,117254,White,"Five Dock, NSW",4,Hatchback,5,5,19999
Toyota,2012,86,2012 Toyota 86 GT,USED,Manual,Rear,Premium,7.8,178747,Silver / Black,"Granville, NSW",4,Coupe,2,4,19900
Mazda,2022,CX-5,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,AWD,Unleaded,7.5,10579,Black / Black,"Five Dock, NSW",4,SUV,4,5,37990
Toyota,2010,Corolla,2010 Toyota Corolla Ascent,USED,Automatic,Front,Unleaded,7.7,167101,Red,"Minchinbury, NSW",4,Hatchback,5,5,12990
Ford,2013,Falcon,2013 Ford Falcon XR6,USED,Automatic,Rear,Unleaded,9.9,163161,Blue / Black,"Blacktown, NSW",6,Sedan,4,5,16999
Abarth,2021,595,2021 Abarth 595 Competizione,USED,Manual,Front,Premium,6,13200,Black / Black,"Ryde, NSW",4,Hatchback,3,4,36990
Honda,2014,CR-V,2014 Honda CR-V VTI-L (4X4),USED,Automatic,4WD,Unleaded,8.7,103211,White / Black Cloth,"Blacktown, NSW",4,SUV,4,5,23880
Toyota,2007,Corolla,2007 Toyota Corolla Ultima,USED,Automatic,Front,Unleaded,7.4,177751,Silver,"Minchinbury, NSW",4,Sedan,4,5,10990
Toyota,2016,HiAce,2016 Toyota HiAce Commuter,USED,Automatic,Rear,Unleaded,10.9,119614,Silver / Black,"Ingleburn, NSW",4,People Mover,3,14,44900
Hyundai,2012,I30,2012 Hyundai I30 Active,USED,Automatic,Front,Unleaded,6.9,125546,Black / Black Cloth,"Blacktown, NSW",4,Hatchback,5,5,15880
Mazda,2013,6,2013 Mazda 6 Touring,USED,Automatic,Front,Unleaded,6.6,163000,Grey / Black,"Minchinbury, NSW",4,Sedan,4,5,16995
Toyota,2008,Kluger,2008 Toyota Kluger KX-S (fwd),USED,Automatic,Front,Unleaded,11,132864,Blue / Black,"Blacktown, NSW",6,SUV,4,7,19880
Hyundai,2018,Santa,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,AWD,Diesel,7.8,71655,White / Black,"Homebush, NSW",4,SUV,4,7,43999
BMW,2012,X3,2012 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,5.6,109459,Black,"Blacktown, NSW",4,SUV,4,5,18888
Holden,2016,Cascada,2016 Holden Cascada,USED,Automatic,Front,Premium,7.5,65361,Silver / Blackeather,"Minchinbury, NSW",4,Convertible,2,4,24995
Mercedes-Benz,2006,ML320,2006 Mercedes-Benz ML320 CDIuxury (4X4),USED,Automatic,4WD,Diesel,9.6,212953,Silver,"Five Dock, NSW",6,SUV,4,5,9998
Mitsubishi,2009,Lancer,2009 Mitsubishiancer ES,USED,Automatic,Front,Unleaded,8.2,163012,Red,"Minchinbury, NSW",4,Sedan,4,5,9990
Audi,2014,A5,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,6.7,82119,White / Black,"Blacktown, NSW",4,Coupe,2,4,27380
Kia,2018,RIO,2018 Kia RIO GT-Line,USED,Automatic,Front,Unleaded,5.4,42071,Red / Black,"Homebush, NSW",3,Hatchback,5,5,24999
Jeep,2015,Cherokee,2015 Jeep Cherokeeongitude (4X4),USED,Automatic,4WD,Unleaded,10,85958,Red / Black Cloth,"Elderslie, NSW",6,SUV,4,5,17999
Volkswagen,2011,Tiguan,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,AWD,Premium,8.8,118642,Black,"Lidcombe, NSW",4,SUV,4,5,12990
Mitsubishi,2012,ASX,2012 Mitsubishi ASX (2WD),USED,Automatic,Front,Unleaded,7.9,187265,Blue,"Campbelltown, NSW",4,SUV,4,5,13990
BMW,2016,220I,2016 BMW 220I M-Sport,USED,Automatic,Rear,Premium,6.4,118120,Grey / Black,"Caringbah, NSW",4,Convertible,2,4,28990
Hyundai,2022,Tucson,2022 Hyundai Tucson (FWD),USED,Automatic,Front,Unleaded,8.1,19978,White,"Smithfield, NSW",4,SUV,4,5,36800
Mazda,2011,3,2011 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,86804,Grey / Grey,"Lansvale, NSW",4,Sedan,4,5,13999
Volkswagen,2023,Tiguan,2023 Volkswagen Tiguan Allspace 132TSIife,NEW,Automatic,AWD,Premium,8.9,15,Black / Storm Grey,"Blacktown, NSW",4,SUV,4,7,56887
Hyundai,2014,Imax,2014 Hyundai Imax,USED,Automatic,Rear,Diesel,9,183550,White / Grey  Cloth,"Bankstown, NSW",4,Wagon,4,8,19888
Toyota,2014,Yaris,2014 Toyota Yaris YR,USED,Automatic,Front,Unleaded,6.3,191748,Green / Black,"Bankstown, NSW",4,Hatchback,5,5,8995
Toyota,2016,Kluger,2016 Toyota Kluger Grande (4X2),USED,Automatic,Front,Unleaded,10.4,139637,Grey / Black,"Five Dock, NSW",6,SUV,4,7,31900
Mitsubishi,2013,Lancer,2013 MitsubishiancerX,USED,Automatic,Front,Unleaded,7.2,165306,Grey / Black,"Minchinbury, NSW",4,Sedan,4,5,14995
Subaru,2016,XV,2016 Subaru XV 2.0I-L,USED,Automatic,AWD,Unleaded,7.1,104887,Grey / Black,"North Narrabeen, NSW",4,SUV,4,5,22990
Mini,2017,Cooper,2017 Mini Cooper S 5D Hatch,USED,Automatic,Front,Premium,5.5,72501,Yellow,"Blacktown, NSW",4,Hatchback,5,5,31990
Peugeot,2015,308,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,Other,Unleaded,-,167127,White,"Rouse Hill, NSW",-,Hatchback,,,12999
Holden,2010,Commodore,2010 Holden Commodore SS-V,USED,Manual,Rear,Unleaded,14.5,169220,Black,"Blacktown, NSW",8,Ute / Tray,2,2,25999
Hyundai,2015,I20,2015 Hyundai I20 Active,USED,Automatic,Front,Unleaded,5.9,111783,Silver / Grey,"Croydon, NSW",4,Hatchback,5,5,13990
