Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2021,0.0,0.0,1.0,7.9,20827,4,32888
2008,0.0,0.0,1.0,,112980,,31900
2014,0.0,0.0,1.0,,97745,,22999
2010,0.0,0.0,1.0,6.5,147626,4,10995
2014,0.0,0.0,1.0,7.5,114424,6,29990
2009,0.0,0.0,1.0,8.6,153020,4,13950
2016,0.0,0.0,1.0,9,98700,5,36999
2011,0.0,0.0,1.0,,183924,,9990
2013,0.0,0.0,1.0,7.1,103706,4,24990
2013,0.0,0.0,1.0,5.2,126532,4,13990
2013,0.0,0.0,1.0,7.3,73421,4,16990
2009,0.0,0.0,1.0,9.9,155135,4,10995
2013,0.0,0.0,1.0,6.4,123330,4,12990
2014,0.0,0.0,1.0,8.9,44249,4,18990
2018,0.0,0.0,1.0,4.9,27100,4,23999
2009,0.0,0.0,1.0,8.2,70661,4,14995
2014,0.0,0.0,1.0,9.3,215100,4,18995
2014,0.0,0.0,1.0,5.4,155036,4,14990
2012,0.0,0.0,1.0,7.5,67678,6,29950
2015,0.0,0.0,1.0,9.8,133934,6,22999
2008,0.0,0.0,1.0,8,174915,4,14990
2014,0.0,0.0,1.0,7.4,117000,4,7888
2018,0.0,0.0,1.0,8.8,190176,4,27990
2013,0.0,0.0,1.0,9.1,231675,4,19800
2021,0.0,0.0,1.0,6.4,23332,4,67988
2018,0.0,0.0,1.0,5.6,130647,4,21880
2019,0.0,0.0,1.0,7.2,47307,4,41888
2005,0.0,0.0,1.0,,69619,,17900
2009,0.0,0.0,1.0,,128647,,18900
2016,0.0,0.0,1.0,7.3,74983,4,29990
2007,0.0,0.0,1.0,8.8,102496,4,7920
2015,0.0,0.0,1.0,6.4,84924,4,14999
2013,0.0,0.0,1.0,8.8,159558,6,38950
2014,0.0,0.0,1.0,,98296,,16999
2013,0.0,0.0,1.0,6.6,67590,4,12990
2017,0.0,0.0,1.0,8.5,65502,4,29990
2010,0.0,0.0,1.0,10.5,193271,8,29990
2016,0.0,0.0,1.0,10.3,23481,6,214880
2007,0.0,0.0,1.0,12.2,173839,6,8950
2017,0.0,0.0,1.0,,55794,,26280
2016,0.0,0.0,1.0,7,258936,4,21290
2009,0.0,0.0,1.0,,106208,,22900
2019,0.0,0.0,1.0,,19730,,33888
2013,0.0,0.0,1.0,6.5,292134,4,14995
2008,0.0,0.0,1.0,9.5,251000,4,21290
2014,0.0,0.0,1.0,5.8,130242,4,16388
2021,0.0,0.0,1.0,7.2,35024,4,26990
2015,0.0,0.0,1.0,5.1,44145,4,32000
2021,0.0,0.0,1.0,6.4,29567,4,67988
2007,0.0,0.0,1.0,8.9,223898,4,7600
2013,0.0,0.0,1.0,6.4,155244,4,17990
2017,0.0,0.0,1.0,7.9,149988,4,19950
2011,0.0,0.0,1.0,7.3,205373,4,9990
2020,0.0,0.0,1.0,8.8,2858,6,129988
2011,0.0,0.0,1.0,6.2,201011,4,7999
2008,0.0,0.0,1.0,9.5,305593,4,9995
2009,0.0,0.0,1.0,,165589,,19900
2017,0.0,0.0,1.0,5.1,57217,3,16990
2017,0.0,0.0,1.0,6.9,83147,4,17888
2015,0.0,0.0,1.0,9.3,204000,4,18995
2013,0.0,0.0,1.0,7.2,122077,4,16857
2015,0.0,0.0,1.0,6.1,60581,4,22990
2010,0.0,0.0,1.0,9.8,259488,4,13950
2017,0.0,0.0,1.0,9,186954,4,12990
2017,0.0,0.0,1.0,7.1,21350,4,22990
2016,0.0,0.0,1.0,8.1,47926,5,59990
2014,0.0,0.0,1.0,8,88861,4,21880
2007,0.0,0.0,1.0,16,199000,6,10990
2018,0.0,0.0,1.0,6.5,72540,4,39990
2020,0.0,0.0,1.0,4.2,87043,4,39990
2012,0.0,0.0,1.0,9.4,254121,5,21990
2008,0.0,0.0,1.0,9.3,165450,4,18990
2022,0.0,0.0,1.0,7.3,15087,4,39990
2013,0.0,0.0,1.0,10.5,159056,4,21990
2017,0.0,0.0,1.0,6.8,97295,4,31990
2015,0.0,0.0,1.0,7.4,83095,4,26990
2015,0.0,0.0,1.0,,167379,,32900
2017,0.0,0.0,1.0,7.7,192988,4,28999
2014,0.0,0.0,1.0,4.6,105663,4,22500
2007,0.0,0.0,1.0,11.6,222603,4,17990
2020,0.0,0.0,1.0,5.3,22300,3,27800
2022,0.0,0.0,1.0,5.2,11824,4,29990
2007,0.0,0.0,1.0,7.7,250318,4,10990
2016,0.0,0.0,1.0,10.4,39967,6,34800
2020,0.0,0.0,1.0,7.9,38341,4,28984
2020,0.0,0.0,1.0,8.3,7528,4,32990
2018,0.0,0.0,1.0,5.8,94385,4,19999
2018,0.0,0.0,1.0,5.6,110047,4,29990
2012,0.0,0.0,1.0,7.4,164189,4,16990
2013,0.0,0.0,1.0,7.4,106722,4,10800
2018,0.0,0.0,1.0,8.1,72650,4,39880
2015,0.0,0.0,1.0,7.1,123624,4,14995
2014,0.0,0.0,1.0,9.7,155620,6,27990
2018,0.0,0.0,1.0,4.9,53426,4,22990
2009,0.0,0.0,1.0,7.7,114727,4,14995
2016,0.0,0.0,1.0,10.6,98983,6,39280
2007,0.0,0.0,1.0,8.1,160523,4,10990
2015,0.0,0.0,1.0,11.8,96000,8,47990
2016,0.0,0.0,1.0,7.9,39397,4,23950
2020,0.0,0.0,1.0,7.4,54368,4,26990
2014,0.0,0.0,1.0,7.4,220683,4,7990
2016,0.0,0.0,1.0,,79008,,28999
2013,0.0,0.0,1.0,7.8,89140,4,17900
2013,0.0,0.0,1.0,6.6,149974,4,16990
2019,0.0,0.0,1.0,7.4,44879,4,26990
2016,0.0,0.0,1.0,9.2,110909,5,34913
2013,0.0,0.0,1.0,6.6,109519,4,19990
2020,0.0,0.0,1.0,10.2,19372,6,55888
2015,0.0,0.0,1.0,8.5,155198,4,24950
2012,0.0,0.0,1.0,6.6,111323,4,12800
2017,0.0,0.0,1.0,5.8,79882,4,41280
2008,0.0,0.0,1.0,8.1,155839,4,13990
2018,0.0,0.0,1.0,7.3,66805,4,33898
2011,0.0,0.0,1.0,8.2,227646,6,8913
2013,0.0,0.0,1.0,6.3,88465,4,14888
2013,0.0,0.0,1.0,9.5,237426,6,15995
1999,0.0,0.0,1.0,0,41750,6,48999
2013,0.0,0.0,1.0,8.1,345194,4,12990
2017,0.0,0.0,1.0,6.1,130970,4,23990
2016,0.0,0.0,1.0,6,35612,4,24888
2013,0.0,0.0,1.0,6.7,148265,4,13999
2018,0.0,0.0,1.0,7.1,83494,4,27950
2012,0.0,0.0,1.0,6.8,85492,4,13990
2013,0.0,0.0,1.0,8.8,126408,4,19999
2017,0.0,0.0,1.0,6.2,173156,4,22950
2013,0.0,0.0,1.0,5.9,78783,4,14990
2020,0.0,0.0,1.0,8.1,26227,4,69800
2017,0.0,0.0,1.0,6.6,101821,4,20995
2014,0.0,0.0,1.0,8.1,221872,4,14413
2015,0.0,0.0,1.0,6.7,90691,4,14776
2018,0.0,0.0,1.0,7,24305,4,29990
2007,0.0,0.0,1.0,8.3,168901,4,7950
2005,0.0,0.0,1.0,9.3,167562,4,7949
2016,0.0,0.0,1.0,6.8,152995,6,29999
2007,0.0,0.0,1.0,7.4,236946,4,8880
2011,0.0,0.0,1.0,9.8,183580,6,12990
2005,0.0,0.0,1.0,,180499,,9999
