Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2019,0.0,0.0,1.0,7.4,69317,4,18800
2018,0.0,0.0,1.0,6.9,26890,4,32990
2016,0.0,0.0,1.0,,88395,,12800
2012,0.0,0.0,1.0,,124000,,23888
2019,0.0,0.0,1.0,8.5,85112,4,57888
2015,0.0,0.0,1.0,7.5,134981,6,22999
2018,0.0,0.0,1.0,8.3,114953,4,27990
2015,0.0,0.0,1.0,,104082,,34950
2015,0.0,0.0,1.0,6.3,117864,4,16990
2014,0.0,0.0,1.0,,55800,,38000
2011,0.0,0.0,1.0,7.9,178796,4,7995
2010,0.0,0.0,1.0,8.3,51778,6,44990
2015,0.0,0.0,1.0,7.4,84754,4,12913
2014,0.0,0.0,1.0,7,157851,4,7800
2014,0.0,0.0,1.0,,83099,,18888
2022,1.0,0.0,0.0,5.8,556,4,42990
2014,0.0,0.0,1.0,9.2,125628,4,28990
2019,0.0,0.0,1.0,9.6,48494,6,68900
2010,0.0,0.0,1.0,6.9,136836,4,9990
2014,0.0,0.0,1.0,5.6,37526,4,14350
2023,1.0,0.0,0.0,7.5,1500,4,73990
2018,0.0,0.0,1.0,6,49928,6,77990
2009,0.0,0.0,1.0,9.2,208005,4,7750
2011,0.0,0.0,1.0,9.4,106626,4,13499
2013,0.0,0.0,1.0,6.9,112315,4,16990
2019,0.0,0.0,1.0,7.4,128303,4,19990
2022,0.0,0.0,1.0,5.9,8532,3,57988
2009,0.0,0.0,1.0,13.6,224551,8,4990
2014,0.0,0.0,1.0,9.8,254186,4,13999
2020,0.0,0.0,1.0,,26764,,29900
2023,0.0,1.0,0.0,8.8,,4,85990
2012,0.0,0.0,1.0,8.4,180950,5,19999
2020,0.0,0.0,1.0,7.5,49380,4,94990
2011,0.0,0.0,1.0,7.2,74545,4,13950
2013,0.0,0.0,1.0,6.1,140159,6,22888
2014,0.0,0.0,1.0,10.4,97222,6,11999
2012,0.0,0.0,1.0,7.4,256377,4,10990
2014,0.0,0.0,1.0,7.5,124230,4,18888
2011,0.0,0.0,1.0,11.3,191353,6,9990
2011,0.0,0.0,1.0,7.9,232070,4,26990
2011,0.0,0.0,1.0,7.5,150395,4,15290
2016,0.0,0.0,1.0,5.7,175728,4,27999
2007,0.0,0.0,1.0,,135744,,7999
2016,0.0,0.0,1.0,6.3,75667,4,24880
2021,0.0,0.0,1.0,5.6,11653,4,69995
2013,0.0,0.0,1.0,,63400,,29990
2022,0.0,1.0,0.0,6.7,15,4,19990
2012,0.0,0.0,1.0,6.9,152500,4,9888
2008,0.0,0.0,1.0,11,256299,6,9999
2021,0.0,0.0,1.0,6.4,29972,4,64800
2013,0.0,0.0,1.0,8.1,151628,4,14999
2021,0.0,0.0,1.0,6.9,8942,4,48990
2018,0.0,0.0,1.0,,114059,,17995
2018,0.0,0.0,1.0,4.1,23897,4,29990
2013,0.0,0.0,1.0,7.3,131876,4,23990
2015,0.0,0.0,1.0,7.7,125938,4,12999
2015,0.0,0.0,1.0,6.5,143285,4,36990
2010,0.0,0.0,1.0,9.2,174891,4,13990
2007,0.0,0.0,1.0,7.4,262648,4,11990
2012,0.0,0.0,1.0,8,196965,4,24999
2013,0.0,0.0,1.0,5.8,76273,4,16990
2018,0.0,0.0,1.0,6.6,102390,4,20950
2015,0.0,0.0,1.0,4.9,167529,4,16990
2013,0.0,0.0,1.0,6.1,45028,4,16990
2022,1.0,0.0,0.0,7.7,21,4,41990
1999,0.0,0.0,1.0,,98500,,25888
2013,0.0,0.0,1.0,7,136015,4,6999
2022,0.0,0.0,1.0,5.8,4284,4,39880
2020,0.0,0.0,1.0,6.4,109981,4,18500
2005,0.0,0.0,1.0,8.5,313897,4,17990
2011,0.0,0.0,1.0,10.7,234308,4,16999
2001,0.0,0.0,1.0,,33554,,20888
2015,0.0,0.0,1.0,9.8,52441,8,130000
2022,0.0,0.0,1.0,6.5,10865,4,38990
2021,0.0,0.0,1.0,7,14431,6,99888
2018,0.0,0.0,1.0,8.5,105911,4,58990
2021,0.0,0.0,1.0,4.1,7174,4,56900
2019,0.0,0.0,1.0,7.4,52761,4,25887
2022,0.0,0.0,1.0,6.3,9543,4,29990
2005,0.0,0.0,1.0,,196998,,24900
2016,0.0,0.0,1.0,8.9,233266,5,27995
1985,0.0,0.0,1.0,27,93182,8,49990
2012,0.0,0.0,1.0,7.1,182888,4,9999
2019,0.0,0.0,1.0,6,91945,4,26990
2022,0.0,0.0,1.0,7.7,6144,4,66880
2017,0.0,0.0,1.0,7.2,124712,4,19990
2008,0.0,0.0,1.0,10.7,214176,4,15990
2013,0.0,0.0,1.0,6.8,166701,4,8995
2021,0.0,0.0,1.0,4.8,4801,4,67999
2013,0.0,0.0,1.0,12.1,85388,8,74990
2019,0.0,0.0,1.0,7.2,56571,4,51990
2017,0.0,0.0,1.0,,147801,,19888
2013,0.0,0.0,1.0,6.4,122961,4,14999
2013,0.0,0.0,1.0,8.7,100078,4,15999
2015,0.0,0.0,1.0,,93012,,45999
2015,0.0,0.0,1.0,4.9,13192,4,19800
2018,0.0,0.0,1.0,5.4,35748,4,32990
2018,0.0,0.0,1.0,6.1,35197,4,44990
2016,0.0,0.0,1.0,8.3,177838,4,16413
2019,0.0,0.0,1.0,7.5,87074,4,29999
2012,0.0,0.0,1.0,9.1,299995,4,12995
2015,0.0,0.0,1.0,6,69479,4,34988
2019,0.0,0.0,1.0,5.3,54595,4,34990
2014,0.0,0.0,1.0,5.7,144605,4,18500
2016,0.0,0.0,1.0,6.2,110338,4,12990
2015,0.0,0.0,1.0,7.4,86713,4,16800
2012,0.0,0.0,1.0,10.4,192322,4,17999
2006,0.0,0.0,1.0,8,149067,4,11990
2016,0.0,0.0,1.0,8.5,242569,4,31913
2016,0.0,0.0,1.0,4.9,51333,4,17990
2016,0.0,0.0,1.0,5.1,54518,4,44800
2017,0.0,0.0,1.0,,90000,,22888
2021,0.0,0.0,1.0,6.6,2078,4,34300
2022,0.0,0.0,1.0,6.6,8211,4,61900
2015,0.0,0.0,1.0,8,265574,4,25999
2021,0.0,0.0,1.0,8.1,23914,4,28888
2012,0.0,0.0,1.0,9.1,203208,4,14880
2015,0.0,0.0,1.0,7.3,102450,4,22995
2015,0.0,0.0,1.0,7.2,121973,4,19913
2010,0.0,0.0,1.0,,118879,,20888
2018,0.0,0.0,1.0,9.9,122521,6,32888
2020,0.0,0.0,1.0,7.4,57308,4,21950
2006,0.0,0.0,1.0,6.1,120105,4,8990
2018,0.0,0.0,1.0,7.1,49308,4,32800
2023,1.0,0.0,0.0,6.1,15,4,35585
2020,0.0,0.0,1.0,7.9,48285,4,28990
2022,1.0,0.0,0.0,5.4,1501,3,33990
2010,0.0,0.0,1.0,11.8,162000,6,12990
2017,0.0,0.0,1.0,7.5,51751,4,55000
2023,0.0,0.0,1.0,4.8,31,4,65888
2019,0.0,0.0,1.0,6.6,80090,4,20990
2022,0.0,0.0,1.0,4.8,7501,4,68777
2007,0.0,0.0,1.0,11,290437,6,9995
2001,0.0,0.0,1.0,,84000,,19888
2018,0.0,0.0,1.0,7.5,60351,4,43990
2009,0.0,0.0,1.0,8.3,172535,4,9990
2014,0.0,0.0,1.0,6,97624,4,36990
2021,0.0,0.0,1.0,5.4,9660,3,41888
2019,0.0,0.0,1.0,5.8,102416,4,29990
2023,1.0,0.0,0.0,8.1,1550,4,75990
2022,0.0,0.0,1.0,7.8,7895,4,44990
2012,0.0,0.0,1.0,,147291,,18888
2019,0.0,0.0,1.0,9.5,57352,8,124990
2017,0.0,0.0,1.0,6.4,103747,4,19990
2014,0.0,0.0,1.0,5.8,47769,4,17220
2015,0.0,0.0,1.0,8.1,186885,4,38995
2013,0.0,0.0,1.0,5.3,191912,4,7990
2018,0.0,0.0,1.0,5.4,100180,4,40888
1992,0.0,0.0,1.0,,38518,,29888
2019,0.0,0.0,1.0,8.1,44547,4,69880
2015,0.0,0.0,1.0,,111743,,21999
2018,0.0,0.0,1.0,7.8,54963,4,27800
2016,0.0,0.0,1.0,8.7,98438,8,99888
2002,0.0,0.0,1.0,,,,24888
2015,0.0,0.0,1.0,8.4,98096,4,39990
2018,0.0,0.0,1.0,8.6,54105,4,24990
2013,0.0,0.0,1.0,,251956,,7990
2012,0.0,0.0,1.0,8.8,132762,6,18999
2023,1.0,0.0,0.0,8.1,17,4,60880
2014,0.0,0.0,1.0,9,140057,4,33888
2009,0.0,0.0,1.0,11,229257,6,12777
2013,0.0,0.0,1.0,9.2,193841,5,22913
2012,0.0,0.0,1.0,8.1,305742,4,26990
2011,0.0,0.0,1.0,6.3,89441,4,13990
2020,0.0,0.0,1.0,4.2,54016,4,38990
2021,0.0,0.0,1.0,6.8,16684,4,49880
2019,0.0,0.0,1.0,6.8,190812,4,27888
2015,0.0,0.0,1.0,7.3,74396,4,32880
2015,0.0,0.0,1.0,6.6,60584,4,21950
2018,0.0,0.0,1.0,6.8,81579,4,24900
2015,0.0,0.0,1.0,10.4,119401,6,24800
nan,0.0,0.0,0.0,,,nan,
2018,0.0,0.0,1.0,7,56601,6,109990
2011,0.0,0.0,1.0,7.5,173428,4,6990
2023,0.0,1.0,0.0,4.9,15,4,46887
2016,0.0,0.0,1.0,,114222,,33999
2010,0.0,0.0,1.0,6.7,212994,4,9990
2023,1.0,0.0,0.0,,3247,,68990
2014,0.0,0.0,1.0,,101221,,35900
2022,1.0,0.0,0.0,8.6,1272,4,61888
2009,0.0,0.0,1.0,,62876,,26900
2006,0.0,0.0,1.0,,100572,6,12995
2015,0.0,0.0,1.0,8.1,183098,4,34990
2018,0.0,0.0,1.0,9.5,181769,8,95950
2015,0.0,0.0,1.0,11.7,100360,4,18913
2018,0.0,0.0,1.0,7.7,76157,4,33990
2009,0.0,0.0,1.0,10.5,172481,4,15990
2021,0.0,0.0,1.0,7.4,25264,4,28280
2011,0.0,0.0,1.0,9.9,163118,6,14995
2017,0.0,0.0,1.0,6.9,58658,4,27987
2019,0.0,0.0,1.0,9.4,61600,6,69838
2011,0.0,0.0,1.0,6,278106,6,13999
2019,0.0,0.0,1.0,11.1,59070,4,26888
2015,0.0,0.0,1.0,8.3,173467,4,18990
2018,0.0,0.0,1.0,4.7,56012,4,23990
2018,0.0,0.0,1.0,5.7,94406,4,21990
2011,0.0,0.0,1.0,6.1,181675,4,12990
2014,0.0,0.0,1.0,11.8,96156,8,64990
2023,1.0,0.0,0.0,,1500,,54990
2017,0.0,0.0,1.0,10.2,66104,6,42990
2019,0.0,0.0,1.0,5.7,42320,4,46999
2005,0.0,0.0,1.0,7.8,124242,4,9900
2010,0.0,0.0,1.0,7.4,98924,4,14913
2007,0.0,0.0,1.0,8.2,121989,4,8990
2006,0.0,0.0,1.0,12.3,247004,6,7750
2022,0.0,0.0,1.0,8.6,8421,4,44990
2015,0.0,0.0,1.0,8.3,258612,4,39995
2010,0.0,0.0,1.0,7.4,143700,6,19999
2012,0.0,0.0,1.0,9.3,114364,4,15884
2015,0.0,0.0,1.0,7,132907,4,15800
2016,0.0,0.0,1.0,7.6,101489,4,16888
2023,0.0,1.0,0.0,8.1,,4,46888
2019,0.0,0.0,1.0,6.2,73154,4,27990
2017,0.0,0.0,1.0,7.8,177000,6,36999
2016,0.0,0.0,1.0,6.1,68022,4,24950
2021,0.0,0.0,1.0,7.9,43956,4,29900
2019,0.0,0.0,1.0,7.4,59330,4,33990
2013,0.0,0.0,1.0,6.8,65952,4,17990
2017,0.0,0.0,1.0,9.4,86170,4,31969
2018,0.0,0.0,1.0,5.6,36791,4,32990
2019,0.0,0.0,1.0,4.2,52631,4,36990
2020,0.0,0.0,1.0,4.7,57695,4,51490
2019,0.0,0.0,1.0,6.3,3888,4,30990
2022,0.0,0.0,1.0,6.5,7395,4,44990
2015,0.0,0.0,1.0,9.8,158460,4,26990
2017,0.0,0.0,1.0,,192052,,18990
2020,0.0,0.0,1.0,8.5,133185,4,52988
2013,0.0,0.0,1.0,8.5,55824,4,21490
2023,0.0,0.0,1.0,11.5,158,8,168888
2014,0.0,0.0,1.0,7.4,129152,4,24995
2012,0.0,0.0,1.0,7.4,157341,4,16990
2019,0.0,0.0,1.0,4.7,50290,4,56990
2016,0.0,0.0,1.0,9,180163,4,30990
2018,0.0,0.0,1.0,8.7,164762,5,39990
2021,0.0,0.0,1.0,6.8,18808,4,34990
2008,0.0,0.0,1.0,7.7,165708,4,13995
2014,0.0,0.0,1.0,5.8,92807,4,19990
2022,0.0,0.0,1.0,7.1,2001,4,71880
2016,0.0,0.0,1.0,5.1,64549,4,39880
2017,0.0,0.0,1.0,8.6,158811,4,27880
2013,0.0,0.0,1.0,8.5,102140,4,12777
2013,0.0,0.0,1.0,9.8,168700,4,10950
2018,0.0,0.0,1.0,5.5,115078,4,17990
2015,0.0,0.0,1.0,9.5,190878,6,19995
2020,0.0,0.0,1.0,7.6,53429,4,26999
2012,0.0,0.0,1.0,8.9,252148,4,13990
2014,0.0,0.0,1.0,,89697,,18950
2014,0.0,0.0,1.0,11.9,46097,8,89990
2014,0.0,0.0,1.0,7.6,220912,4,12990
2014,0.0,0.0,1.0,4.5,109384,4,29800
2016,0.0,0.0,1.0,6.7,129973,4,12990
2023,0.0,1.0,0.0,6.9,15,4,27490
2023,0.0,1.0,0.0,,15,,53887
2019,0.0,0.0,1.0,5.8,25433,4,75880
2013,0.0,0.0,1.0,5,113870,4,16999
2022,1.0,0.0,0.0,,4456,,44990
2012,0.0,0.0,1.0,10.6,182092,6,14913
2011,0.0,0.0,1.0,6.5,187812,4,8995
2016,0.0,0.0,1.0,8.8,84284,4,24880
2022,0.0,0.0,1.0,3.8,15003,3,38990
2018,0.0,0.0,1.0,7.6,56404,4,33990
2022,0.0,0.0,1.0,7.3,27112,4,31880
2014,0.0,0.0,1.0,6.8,153455,4,13990
2021,0.0,0.0,1.0,6,21609,4,49888
2022,1.0,0.0,0.0,,1369,,43990
2014,0.0,0.0,1.0,7.1,60460,4,26777
2013,0.0,0.0,1.0,5,127588,4,21990
2008,0.0,0.0,1.0,11.4,215849,6,11990
2018,0.0,0.0,1.0,10.9,80608,4,26999
2012,0.0,0.0,1.0,8.5,178998,4,8990
2017,0.0,0.0,1.0,7.6,44781,4,24788
2022,0.0,0.0,1.0,8.6,11093,4,44705
2010,0.0,0.0,1.0,9.3,176323,6,11950
2019,0.0,0.0,1.0,11.6,62520,6,36990
2021,0.0,0.0,1.0,6.9,14135,4,38990
2012,0.0,0.0,1.0,6.9,260950,4,6500
2014,0.0,0.0,1.0,5.7,219000,4,13999
2022,1.0,0.0,0.0,7.3,15,4,38690
2011,0.0,0.0,1.0,10.1,159955,6,13913
2018,0.0,0.0,1.0,8.5,63250,5,52999
2019,0.0,0.0,1.0,7.4,54188,4,23990
2021,0.0,0.0,1.0,6.2,23130,4,30990
2014,0.0,0.0,1.0,7.4,175271,6,24880
2014,0.0,0.0,1.0,7.8,196333,4,16990
2007,0.0,0.0,1.0,,184645,,36500
2013,0.0,0.0,1.0,6.4,118004,4,9995
2005,0.0,0.0,1.0,9.7,211053,6,7999
2005,0.0,0.0,1.0,11.2,151400,6,10980
2017,0.0,0.0,1.0,7.4,68203,4,25990
2019,0.0,0.0,1.0,,51056,,41999
2015,0.0,0.0,1.0,5.8,159086,4,17880
2022,0.0,0.0,1.0,8.1,19150,4,36990
2012,0.0,0.0,1.0,11.3,120500,6,8995
2021,0.0,0.0,1.0,14.4,68537,8,87990
2020,0.0,0.0,1.0,6.5,76560,4,31450
2012,0.0,0.0,1.0,7.3,155657,4,11995
2011,0.0,0.0,1.0,6.5,197505,4,8995
2015,0.0,0.0,1.0,,180515,,134990
2013,0.0,0.0,1.0,7.5,274689,6,14990
2013,0.0,0.0,1.0,8.2,111777,4,16990
2011,0.0,0.0,1.0,9.3,142780,4,13950
2007,0.0,0.0,1.0,9.9,140724,4,12750
2020,0.0,0.0,1.0,7.3,34217,4,28990
2011,0.0,0.0,1.0,6,132826,4,9990
2022,0.0,1.0,0.0,7.3,15,4,36690
2016,0.0,0.0,1.0,7.1,24499,4,27990
2018,0.0,0.0,1.0,7.3,96582,4,25999
2014,0.0,0.0,1.0,,122101,,34995
2019,0.0,0.0,1.0,4.7,53531,4,24990
2018,0.0,0.0,1.0,7.8,69212,6,41880
2019,0.0,0.0,1.0,4.8,79828,4,48990
2010,0.0,0.0,1.0,11.1,119109,8,31990
2017,0.0,0.0,1.0,10.2,22500,6,39990
2013,0.0,0.0,1.0,7.2,137220,4,11999
2017,0.0,0.0,1.0,6.1,81645,4,22990
2022,1.0,0.0,0.0,,7618,,143900
2005,0.0,0.0,1.0,0,143242,6,12500
2008,0.0,0.0,1.0,,244263,,19888
2021,0.0,0.0,1.0,5.4,32749,3,32880
2016,0.0,0.0,1.0,7.4,87985,4,23950
2010,0.0,0.0,1.0,9.4,110309,4,10995
2012,0.0,0.0,1.0,8.4,145738,4,15990
2017,0.0,0.0,1.0,9,84305,5,44990
2019,0.0,0.0,1.0,8.3,41673,4,51999
2014,0.0,0.0,1.0,5.9,65801,4,12990
2018,0.0,0.0,1.0,8.3,92568,4,29950
2015,0.0,0.0,1.0,4.5,115267,4,27990
2018,0.0,0.0,1.0,7.2,174382,4,25990
2016,0.0,0.0,1.0,6.6,112940,4,24990
2013,0.0,0.0,1.0,4.5,79702,4,12950
2010,0.0,0.0,1.0,11.6,100520,6,25705
2022,0.0,0.0,1.0,7.1,6930,4,44990
2010,0.0,0.0,1.0,7.9,215316,4,8880
2012,0.0,0.0,1.0,7.8,185863,4,13980
2011,0.0,0.0,1.0,7.4,169001,4,11999
2019,0.0,0.0,1.0,6.8,24950,4,29990
2018,0.0,0.0,1.0,7.6,75000,4,56988
2022,1.0,0.0,0.0,8,1015,4,99990
2012,0.0,0.0,1.0,6.9,157633,5,19705
2013,0.0,0.0,1.0,5.4,90429,4,13990
2005,0.0,0.0,1.0,13.4,147501,6,9999
2016,0.0,0.0,1.0,12.6,61360,8,45990
2002,0.0,0.0,1.0,7.8,248291,4,8490
2014,0.0,0.0,1.0,8.9,209914,4,25777
2013,0.0,0.0,1.0,7.4,123101,4,18999
2011,0.0,0.0,1.0,8.6,130708,4,14499
2005,0.0,0.0,1.0,8.5,258195,4,21000
2016,0.0,0.0,1.0,4.9,31098,4,44900
2023,0.0,0.0,1.0,8.2,1755,5,122950
2016,0.0,0.0,1.0,,109474,,15990
2020,0.0,0.0,1.0,4.9,7000,3,21990
2014,0.0,0.0,1.0,7.4,309234,4,10999
2011,0.0,0.0,1.0,9.9,110058,6,18999
2015,0.0,0.0,1.0,6.1,107822,4,19950
2008,0.0,0.0,1.0,8.5,155586,4,6995
2010,0.0,0.0,1.0,,113470,,24990
2011,0.0,0.0,1.0,7.5,159822,4,7750
2013,0.0,0.0,1.0,6.4,86381,4,22990
2010,0.0,0.0,1.0,,89789,,19888
2018,0.0,0.0,1.0,6.1,58941,4,23990
2022,0.0,0.0,1.0,5.4,8270,4,69418
2017,0.0,0.0,1.0,7,13789,4,36880
2023,0.0,1.0,0.0,7.3,15,3,34690
2008,0.0,0.0,1.0,8,142858,4,11950
2018,0.0,0.0,1.0,7.2,60362,4,26490
2009,0.0,0.0,1.0,,123276,,18000
2013,0.0,0.0,1.0,8.8,277953,6,10888
2004,0.0,0.0,1.0,8.9,161876,4,7990
2009,0.0,0.0,1.0,,158935,,34900
2012,0.0,0.0,1.0,,198033,,32990
2016,0.0,0.0,1.0,7.9,63077,4,23990
2016,0.0,0.0,1.0,6.1,92939,4,32990
2014,0.0,0.0,1.0,4.2,75631,2,8990
2018,0.0,0.0,1.0,5.8,45193,4,24990
2018,0.0,0.0,1.0,7.2,88895,4,41999
2011,0.0,0.0,1.0,,158007,,13990
2017,0.0,0.0,1.0,8.5,106034,4,44888
2023,1.0,0.0,0.0,6.8,1500,4,55490
2017,0.0,0.0,1.0,5.3,118977,4,33999
2018,0.0,0.0,1.0,10.9,93839,4,26990
2011,0.0,0.0,1.0,8.2,154492,4,11990
2015,0.0,0.0,1.0,8.2,95243,4,19950
2020,0.0,0.0,1.0,11.2,53675,6,68888
2018,0.0,0.0,1.0,7.6,68580,4,24999
2008,0.0,0.0,1.0,9.5,306337,4,6990
2011,0.0,0.0,1.0,11.9,71000,6,31999
2020,0.0,0.0,1.0,6.5,124031,4,31999
2013,0.0,0.0,1.0,7.9,126201,4,21880
2014,0.0,0.0,1.0,9.4,78062,6,41950
2009,0.0,0.0,1.0,6.4,102204,4,6999
2017,0.0,0.0,1.0,7.6,159901,4,34990
2009,0.0,0.0,1.0,,112800,,17150
2005,0.0,0.0,1.0,10.1,251741,4,8990
2020,0.0,0.0,1.0,7.2,54667,4,28900
2023,0.0,1.0,0.0,7.3,15,4,58915
2021,0.0,0.0,1.0,4.7,39999,3,17850
2023,0.0,1.0,0.0,,9,,35990
2019,0.0,0.0,1.0,5.9,80950,4,24999
2006,0.0,0.0,1.0,9.9,177268,4,9990
2012,0.0,0.0,1.0,7.8,208330,4,12999
2015,0.0,0.0,1.0,,129032,,18999
2023,0.0,1.0,0.0,,9,,36990
2014,0.0,0.0,1.0,,88205,,12888
2016,0.0,0.0,1.0,5.2,123567,3,16999
2012,0.0,0.0,1.0,6.9,202500,4,8888
2022,0.0,0.0,1.0,4.7,6988,4,59888
2019,0.0,0.0,1.0,5.5,82259,4,30990
2012,0.0,0.0,1.0,8.3,387774,4,16490
2015,0.0,0.0,1.0,,7403,,26888
2001,0.0,0.0,1.0,0,392793,4,4750
2018,0.0,0.0,1.0,7.5,68290,4,29990
2003,0.0,0.0,1.0,7.9,247081,4,4990
2010,0.0,0.0,1.0,9.3,216368,4,9400
2022,1.0,0.0,0.0,8.9,21,4,47990
2004,0.0,0.0,1.0,11.5,142301,6,5950
2022,0.0,0.0,1.0,7.9,5950,4,94990
2013,0.0,0.0,1.0,8.2,169000,6,15748
2015,0.0,0.0,1.0,5.9,103772,6,41950
2017,0.0,0.0,1.0,8.1,138851,4,16995
2017,0.0,0.0,1.0,8,99473,4,42990
2022,1.0,0.0,0.0,7.7,21,4,42990
2023,0.0,1.0,0.0,8,7,4,59888
2018,0.0,0.0,1.0,8.7,160589,4,34995
2020,0.0,0.0,1.0,8.2,6217,4,62888
2008,0.0,0.0,1.0,11.5,190397,4,9950
2016,0.0,0.0,1.0,5.7,31760,4,17999
2008,0.0,0.0,1.0,12.8,237313,6,7499
2017,0.0,0.0,1.0,8.7,74077,8,117990
2009,0.0,0.0,1.0,9.3,190000,4,17888
2019,0.0,0.0,1.0,7.6,47694,4,26990
2015,0.0,0.0,1.0,6.8,103496,6,52800
2020,0.0,0.0,1.0,4.8,59864,4,45990
2015,0.0,0.0,1.0,5.6,88425,4,14300
2009,0.0,0.0,1.0,9.3,93914,4,11995
2020,0.0,0.0,1.0,7.2,26100,4,42990
2016,0.0,0.0,1.0,5.7,98865,4,18990
2016,0.0,0.0,1.0,8.5,82489,4,30498
2009,0.0,0.0,1.0,7.4,232000,4,6500
2007,0.0,0.0,1.0,8.7,134893,4,6990
2015,0.0,0.0,1.0,8.8,147682,4,26950
2018,0.0,0.0,1.0,8.9,13344,6,114888
2011,0.0,0.0,1.0,14.9,177447,8,54888
2004,0.0,0.0,1.0,,148735,,43990
2012,0.0,0.0,1.0,7.4,112241,4,14995
2019,0.0,0.0,1.0,,37128,,66990
2018,0.0,0.0,1.0,9.6,75657,4,24900
2012,0.0,0.0,1.0,6.5,143246,3,9990
2004,0.0,0.0,1.0,13.2,269101,6,19995
2019,0.0,0.0,1.0,8.1,53519,4,64990
2022,0.0,0.0,1.0,6,9604,4,45990
2016,0.0,0.0,1.0,9.2,75690,5,39990
2021,0.0,0.0,1.0,7.3,32775,4,23888
2022,0.0,0.0,1.0,4,3727,4,46990
2020,0.0,0.0,1.0,7.3,55449,4,26990
2023,0.0,1.0,0.0,5,7,4,37485
2013,0.0,0.0,1.0,6.3,101144,4,12990
2013,0.0,0.0,1.0,6.5,71855,4,17990
2022,0.0,1.0,0.0,7.3,15,4,36490
2018,0.0,0.0,1.0,5.4,59175,4,28999
2018,0.0,0.0,1.0,7.6,65591,4,46999
2011,0.0,0.0,1.0,7.6,131379,4,6995
2013,0.0,0.0,1.0,11.3,145911,6,19990
2017,0.0,0.0,1.0,8.5,61935,4,25900
2015,0.0,0.0,1.0,6.1,260385,4,13950
2009,0.0,0.0,1.0,10.5,190584,4,13980
2013,0.0,0.0,1.0,5.8,179499,4,16950
2022,0.0,1.0,0.0,8.1,,4,68990
2009,0.0,0.0,1.0,8.7,254988,4,6750
2010,0.0,0.0,1.0,7.6,88024,4,22990
2017,0.0,0.0,1.0,8.9,235169,5,24990
2014,0.0,0.0,1.0,5.9,59038,4,14950
2015,0.0,0.0,1.0,7.1,69544,4,19990
2015,0.0,0.0,1.0,6.3,48300,4,21780
2008,0.0,0.0,1.0,8.2,243975,4,8990
2020,0.0,0.0,1.0,7.6,50603,4,38990
2019,0.0,0.0,1.0,6.2,52758,4,20990
2006,0.0,0.0,1.0,9.7,151046,4,6995
2005,0.0,0.0,1.0,11.1,186938,6,7499
2010,0.0,0.0,1.0,8.9,105589,4,14888
2012,0.0,0.0,1.0,8.2,67639,4,19990
2017,0.0,0.0,1.0,8.9,50083,4,34990
2019,0.0,0.0,1.0,7.4,51909,4,24490
2009,0.0,0.0,1.0,10.7,275950,6,6490
2017,0.0,0.0,1.0,,149585,,19880
2021,0.0,0.0,1.0,0,4001,0,54990
2013,0.0,0.0,1.0,8.5,149382,4,12990
2016,0.0,0.0,1.0,6.6,223020,4,17999
2014,0.0,0.0,1.0,5.8,205697,4,12999
2005,0.0,0.0,1.0,8.9,88506,4,19990
2022,0.0,1.0,0.0,7.7,13,4,57990
2018,0.0,0.0,1.0,7.9,89659,4,22990
2018,0.0,0.0,1.0,10,38031,5,47990
2022,1.0,0.0,0.0,0,875,0,48688
2018,0.0,0.0,1.0,6.9,59800,4,28999
2010,0.0,0.0,1.0,10.5,178000,4,19888
2008,0.0,0.0,1.0,8.5,158449,4,7995
2018,0.0,0.0,1.0,7.5,74458,4,64980
2013,0.0,0.0,1.0,4.9,120859,4,15880
2022,1.0,0.0,0.0,8.9,10,4,56990
2001,0.0,0.0,1.0,20,47381,8,219880
2004,0.0,0.0,1.0,8.3,154083,4,5999
2019,0.0,0.0,1.0,5.3,61451,4,38990
2019,0.0,0.0,1.0,,46245,,60800
2015,0.0,0.0,1.0,14.6,205263,8,29950
2018,0.0,0.0,1.0,,112610,,33900
2015,0.0,0.0,1.0,4.8,158721,4,15990
2012,0.0,0.0,1.0,8.2,93772,4,27990
2019,0.0,0.0,1.0,7.5,32289,4,35990
2017,0.0,0.0,1.0,5.7,76206,4,32999
2023,1.0,0.0,0.0,8.1,20,4,74990
2018,0.0,0.0,1.0,7.4,39812,4,36990
2009,0.0,0.0,1.0,7.8,156491,4,7999
2009,0.0,0.0,1.0,,162275,,30900
2010,0.0,0.0,1.0,9.3,161178,4,27999
2016,0.0,0.0,1.0,9.5,154422,8,82845
2012,0.0,0.0,1.0,10.5,125211,6,19880
2019,0.0,0.0,1.0,7.6,73611,4,47990
2018,0.0,0.0,1.0,8.5,111798,4,45880
2022,0.0,1.0,0.0,7.3,,4,52490
2008,0.0,0.0,1.0,8.8,148039,4,14990
2014,0.0,0.0,1.0,7.3,94377,4,24999
2008,0.0,0.0,1.0,7.7,109000,4,13995
2011,0.0,0.0,1.0,9.9,242478,6,12990
2018,0.0,0.0,1.0,8.4,93127,8,189990
2016,0.0,0.0,1.0,7.2,119937,4,32990
2017,0.0,0.0,1.0,6.1,103814,4,21990
2012,0.0,0.0,1.0,8.2,234406,4,8499
2011,0.0,0.0,1.0,10.6,156340,6,10999
2017,0.0,0.0,1.0,5.9,72030,4,54990
